Review_ID,Subject,Relation,Object,Sentiment
80,I,recommend,it,0.3612
81,Ian,do,more,0.0
81,lisa,deliver,meal,0.0
81,service.jaconneli,play,music,0.34
82,we,have,car,0.0
82,you,have,breakfast,0.0
82,you,have,charm,0.4019
86,he,show,wife,0.0
86,he,show,lot,0.0
87,I,swim,lap,0.0
87,I,swim,pool,0.0
87,resort,provide,return,0.0
87,staff,sing,song,0.0
87,who,bring,cake,0.0
87,which,include,bath,0.0
87,they,do,job,0.0
87,our,stay,one,0.0
87,you,expect,what,0.0
87,they,have,lounge,0.0
87,resort,improve,menu,0.4404
87,we,have,time,0.0
88,room,receive,room,0.0
89,I,book,hotel,0.0
89,I,enjoy,it,0.4939
89,we,love,it,0.6369
92,manager,arrange,taxi,0.0
92,we,love,room,0.6369
95,I,like,system,0.3612
96,we,celebrate,birthday,0.5719
96,treatment,be,good,0.4404
97,I,write,review,0.0
97,you,enter,riad,0.0
97,Bouchra,help,we,0.4019
97,we,enjoy,breakfast,0.4939
97,we,recommend,riad,0.3612
100,I,state,day,0.0
100,they,treat,guest,0.4019
100,they,do,guest,0.0
100,they,do,favor,0.4019
101,we,dislike,food,-0.3818
102,we,have,time,0.0
102,we,have,meal,0.0
102,wife,eat,egg,0.0
102,we,fit,kind,0.7096
103,I,travel,lot,0.0
105,check,take,minute,0.0
105,in,take,minute,0.0
105,we,need,that,0.0
105,we,take,trip,0.0
105,we,take,ride,0.0
105,kid,enjoy,which,0.4939
105,wife,sign,that,0.0
105,I,say,enough,0.0
105,I,recommend,stay,0.3612
106,staff,congratulate,we,0.4939
106,we,take,plane,0.0
106,Wilfried,offer,check,0.0
106,we,have,course,0.0
107,which,share,space,0.296
107,which,have,that,0.0
108,I,have,neckache,0.0
108,I,like,which,0.3612
108,you,order,what,0.0
109,Marriott,deliver,less,0.0
110,room,have,smell,0.0
110,you,hear,everything,0.0
111,we,buy,one,0.0
111,we,have,time,0.0
111,we,tip,waitress,0.0
112,we,take,it,0.0
112,we,park,car,0.0
112,that,cost,10,0.0
112,we,take,it,0.0
112,it,contain,number,0.0772
112,restaurant,read,review,0.0
114,who,mention,plug,0.0
114,bird,make,lot,0.0
114,this,bother,we,-0.34
115,it,have,staff,0.0
117,who,hand,pack,0.4939
117,we,do,which,0.0
117,we,enjoy,bay,0.4939
117,you,have,access,0.0
117,which,take,you,0.0
118,I,enjoy,stay,0.4939
118,I,have,double,0.0
118,I,mention,WiFi,0.0
120,I,expect,something,0.0
120,you,want,internet,0.0772
120,I,get,experience,0.0
121,that,speak,english,0.0
121,that,help,you,0.4019
121,I,spend,price,0.0
122,Tours,take,we,0.0
124,which,face,side,0.0
124,room,have,shower,0.0
124,which,have,lot,0.0
124,we,need,snack,0.0
124,that,serve,cuisine,0.0
124,that,have,tourist,0.0
124,I,expect,service,0.0
124,I,recommend,hotel,0.3612
125,we,spend,time,0.0
125,you,get,dish,0.0
127,room,offer,sheet,0.0
127,you,find,bathrobe,0.0
127,it,have,fridge,0.0
128,we,spend,weekend,0.0
131,you,want,dump,-0.3182
131,nothing,are,room,0.0
131,desk,have,crumble,0.0
131,I,tell,you,0.0
131,you,spelt,rat,0.0
131,it,come,what,0.0
133,we,enter,restaurant,0.0
133,I,tell,thing,0.0
133,you,call,inn,0.0
134,we,have,meal,0.0
134,they,understand,English,0.0
134,I,recommend,restaurant,0.3612
135,it,combine,room,0.0
135,it,combine,staff,0.0
135,I,recommend,it,0.3612
138,it,see,day,0.0
139,hotel,contact,you,0.0
139,they,cancel,reservation,-0.25
141,we,have,night,0.0
141,staff,play,role,0.34
141,resort,offer,everything,0.0
142,they,seat,we,0.0
142,we,have,dinner,0.0
142,I,recommend,place,0.3612
143,they,build,something,0.0
145,we,recommend,riad,0.3612
146,you,get,it,0.0
146,bar,have,view,0.0
147,Lodge,have,room,0.0
149,employee,help,we,0.4019
152,Restauración,walk,distance,0.0
152,it,have,gym,0.0
152,I,like,it,0.3612
152,I,have,complaint,-0.296
154,I,like,beach,0.3612
154,you,have,something,0.0
154,you,have,car,0.0
154,we,rent,car,0.0
156,room,remind,I,0.0
156,room,remind,more,0.0
156,you,get,access,0.0
156,I,love,feature,0.6369
157,caravans,look,option,0.0
157,Coach,take,hrs,0.0
157,family,share,which,0.296
157,you,hear,which,0.0
157,People,get,table,0.0
157,which,take,you,0.0
157,boat,trip,min,0.0
157,I,like,Racou,0.3612
157,we,hire,bike,0.0
157,Caucassone,take,hrs,0.0
157,Sirene,do,card,0.0
157,we,spend,hrs,0.0
157,L'Sirene,have,voucher,0.0
157,site,have,barbeque,0.0
158,we,have,bit,0.0
158,we,enjoy,walk,0.4939
158,we,enjoy,glass,0.4939
159,I,say,thing,0.0
160,they,offer,transportation,0.0
160,they,offer,coupon,0.0
160,I,have,complaint,-0.296
161,I,notice,crack,0.0
162,you,taste,Springs,0.0
162,you,taste,wine,0.0
163,it,have,one,0.0
164,we,enjoy,stay,0.4939
165,we,visit,Dua,0.0
165,we,love,villa,0.6369
165,we,like,other,0.3612
165,we,love,staff,0.6369
165,they,enjoy,guest,0.4939
165,we,miss,they,-0.1531
166,we,get,basic,0.0
166,response,inform,I,0.0
166,we,get,1,0.0
166,we,have,runner,0.0
166,they,have,selection,0.0
166,dad,have,we,0.0
166,you,shake,stick,-0.1779
166,I,take,maraca,0.0
167,we,visit,Mosaic,0.0
167,we,have,time,0.0
167,they,enjoy,themselves,0.4939
167,guest,like,it,0.3612
167,wife,have,massage,0.0
167,she,enjoy,one,0.4939
167,they,do,something,0.0
168,we,have,seafood,0.0
169,it,offer,space,0.0
169,they,offer,coupon,0.0
170,I,book,room,0.0
170,I,need,room,0.0
170,staff,tell,I,0.0
170,staff,arrange,room,0.0
170,they,arrange,room,0.0
170,I,accept,it,0.3818
170,room,face,street,0.0
170,friend,tell,I,0.4939
170,price,find,hotel,0.0
171,they,have,chef,0.0
172,I,pay,rate,-0.1027
173,which,give,welcome,0.4588
173,bed,allow,sleep,0.2263
173,they,serve,breakfast,0.0
174,I,find,mosquito,0.0
174,I,report,which,0.0
174,they,take,care,0.4939
174,they,forget,thing,-0.2263
174,I,get,shock,-0.3818
174,gym,have,machine,0.0
174,I,ask,question,0.0
174,she,have,answer,0.0
174,hotel,have,buffet,0.0
174,management,get,act,0.0
176,you,spend,most,0.0
176,reasonable,price,kind,0.5267
177,you,want,pool,0.0772
177,you,pay,extra,-0.1027
177,you,have,one,0.0
178,I,have,area,0.0
178,I,prefer,that,0.0
179,I,find,Intercontinental,0.0
179,we,pay,200,-0.1027
179,we,park,car,0.0
179,we,enjoy,stay,0.4939
179,floor,have,hallway,0.0
180,you,have,access,0.0
181,it,offer,parking,0.0
181,we,have,breakfast,0.0
183,I,recommend,Club,0.3612
183,reviewer,mention,walk,0.0
183,wife,hike,mile,0.0
183,we,find,it,0.0
183,ownership,keep,control,0.0
183,vibe,fit,end,0.3612
183,you,do,end,0.0
184,it,have,bedroom,0.0
184,we,love,which,0.6369
184,I,imagine,perfect,0.5719
186,we,enjoy,stay,0.4939
186,it,have,positive,0.5574
186,we,have,fridge,0.0
186,you,visit,town,0.0
186,it,have,vibe,0.0
186,they,have,pastry,0.0
186,we,position,setting,0.0
186,we,hear,conversation,0.0
186,we,have,problem,-0.4019
187,they,have,place,0.0
187,they,make,improvement,0.4588
191,I,remember,which,0.0
191,I,remember,name,0.0
191,it,have,window,0.0
191,they,have,room,0.0
191,nobody,take,I,0.0
